num	kind	unid	bie	term	desc	name	occur	xpath
208	ヘッダ部	UN01005719	BBIE	支払先部門識別子	支払先の支払先部門を表す識別子。	ram:ID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:ID
209	ヘッダ部	UN01005720	BBIE	支払先担当名	支払先個人の、文字で表現された名前。	ram:PersonName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:PersonName
210	ヘッダ部	UN01005721	BBIE	支払先部門名	支払先の請求部門の名称。	ram:DepartmentName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName
211	ヘッダ部	UN01005725	BBIE	支払先担当識別子	支払先個人を表す識別子	ram:PersonID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:PersonID
212	ヘッダ部	UN01005726	ASBIE	連絡先／電話情報グループ	連絡先の電話に関するグループ。	ram:TelephoneCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication
213	ヘッダ部	UN01005857	ABIE	電話通信クラス	通信（電話）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
214	ヘッダ部	UN01005860	BBIE	支払先電話番号	支払先の電話番号。	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber
215	ヘッダ部	UN01005729	ASBIE	連絡先／FAX情報グループ	連絡先のFAXに関するグループ。	ram:FaxCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication
216	ヘッダ部	UN01005857	ABIE	FAX通信クラス	通信（FAX）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
217	ヘッダ部	UN01005860	BBIE	支払先FAX番号	支払先のFAX番号	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication/ram:CompleteNumber
218	ヘッダ部	UN01005730	ASBIE	連絡先／電子メール情報グループ	連絡先の電子メールに関するグループ。	ram:EmailURICIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication
219	ヘッダ部	UN01005857	ABIE	電子メール通信クラス	通信（電子メール）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
220	ヘッダ部	UN01005858	BBIE	支払先メールアドレス	支払先の電子メールアドレス。	ram:URIID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication/ram:URIID
221	ヘッダ部	UN01005762	ASBIE	支払先／住所グループ	支払先の住所に関するグループ。	ram:PostalCITradeAddress	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:PostalCITradeAddress
222	ヘッダ部	UN01005687	ABIE	支払先住所クラス	支払先住所に関する情報からなるクラス。	ram:CITradeAddress	－	
223	ヘッダ部	UN01005689	BBIE	支払先郵便番号	支払先の郵便番号。	ram:PostcodeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode
224	ヘッダ部	UN01005692	BBIE	支払先住所1	支払先の住所1行目。	ram:LineOne	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:PostalCITradeAddress/ram:LineOne
225	ヘッダ部	UN01005693	BBIE	支払先住所2	支払先の住所2行目。	ram:LineTwo	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:PostalCITradeAddress/ram:LineTwo
226	ヘッダ部	UN01005694	BBIE	支払先住所3	支払先の住所3行目。	ram:LineThree	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:PostalCITradeAddress/ram:LineThree
227	ヘッダ部	UN01005700	BBIE	支払先国識別子	支払先の国ID。デフォルトは「JP」	ram:CountryID	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayeeCITradeParty/ram:PostalCITradeAddress/ram:CountryID
228	ヘッダ部	UN01005919	ASBIE	インボイス文書決済／支払人グループ	支払人にかかわる情報	ram:PayerCITradeParty	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty
229	ヘッダ部	UN01005756	ABIE	支払人クラス	支払人に関する情報からなるクラス。	ram:CITradeParty	－	
230	ヘッダ部	UN01005757	BBIE	支払人識別子	支払人の識別子。	ram:ID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:ID
231	ヘッダ部	UN01005758	BBIE	支払人国際企業識別子	支払人の国際企業識別子。	ram:GlobalID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:GlobalID
232	ヘッダ部	UN01005759	BBIE	支払人名称	支払人の企業等を表す名称。	ram:Name	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:Name
233	ヘッダ部	UN01005761	ASBIE	支払人／連絡先グループ	支払人の連絡先に関する情報	ram:DefinedCITradeContact	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact
234	ヘッダ部	UN01005718	ABIE	支払人連絡先クラス	連絡先に関する情報からなるクラス。	ram:CITradeContact	－	
235	ヘッダ部	UN01005719	BBIE	支払人部門識別子	支払人の支払人部門を表す識別子。	ram:ID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:ID
236	ヘッダ部	UN01005720	BBIE	支払人担当名	支払人個人の、文字で表現された名前。	ram:PersonName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:PersonName
237	ヘッダ部	UN01005721	BBIE	支払人部門名	支払人の請求部門の名称。	ram:DepartmentName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName
238	ヘッダ部	UN01005725	BBIE	支払人担当識別子	支払人個人を表す識別子	ram:PersonID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:PersonID
239	ヘッダ部	UN01005726	ASBIE	連絡先／電話情報グループ	連絡先の電話に関するグループ。	ram:TelephoneCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication
240	ヘッダ部	UN01005857	ABIE	電話通信クラス	通信（電話）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
241	ヘッダ部	UN01005860	BBIE	支払人電話番号	支払人の電話番号。	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber
242	ヘッダ部	UN01005729	ASBIE	連絡先／FAX情報グループ	連絡先のFAXに関するグループ。	ram:FaxCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication
243	ヘッダ部	UN01005857	ABIE	FAX通信クラス	通信（FAX）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
244	ヘッダ部	UN01005860	BBIE	支払人FAX番号	支払人のFAX番号	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication/ram:CompleteNumber
245	ヘッダ部	UN01005730	ASBIE	連絡先／電子メール情報グループ	連絡先の電子メールに関するグループ。	ram:EmailURICIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication
246	ヘッダ部	UN01005857	ABIE	電子メール通信クラス	通信（電子メール）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
247	ヘッダ部	UN01005858	BBIE	支払人メールアドレス	支払人の電子メールアドレス。	ram:URIID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication/ram:URIID
248	ヘッダ部	UN01005762	ASBIE	支払人／住所グループ	支払人の住所に関するグループ。	ram:PostalCITradeAddress	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:PostalCITradeAddress
249	ヘッダ部	UN01005687	ABIE	支払人住所クラス	支払人住所に関する情報からなるクラス。	ram:CITradeAddress	－	
250	ヘッダ部	UN01005689	BBIE	支払人郵便番号	支払人の郵便番号。	ram:PostcodeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode
251	ヘッダ部	UN01005692	BBIE	支払人住所1	支払人の住所1行目。	ram:LineOne	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:PostalCITradeAddress/ram:LineOne
252	ヘッダ部	UN01005693	BBIE	支払人住所2	支払人の住所2行目。	ram:LineTwo	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:PostalCITradeAddress/ram:LineTwo
253	ヘッダ部	UN01005694	BBIE	支払人住所3	支払人の住所3行目。	ram:LineThree	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:PostalCITradeAddress/ram:LineThree
254	ヘッダ部	UN01005700	BBIE	支払人国識別子	支払人の国ID。デフォルトは「JP」	ram:CountryID	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PayerCITradeParty/ram:PostalCITradeAddress/ram:CountryID
255	ヘッダ部	UN01005921	ASBIE	インボイス文書決済／請求者為替グループ	請求に関する為替に関するグループ	ram:InvoiceApplicableCITradeCurrencyExchange	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange
256	ヘッダ部	UN01005738	ABIE	請求為替クラス	請求為替に関する情報からなるクラス	ram:CITradeCurrencyExchange	－	
257	ヘッダ部	UN01005739	BBIE	為替交換元通貨コード	為替における交換元通貨を表すコード\nデフォルト＝「JPY」	ram:SourceCurrencyCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:SourceCurrencyCode
258	ヘッダ部	UN01005741	BBIE	為替交換先通貨コード	為替における交換先通貨を表すコード\nデフォルト＝「JPY」	ram:TargetCurrencyCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:TargetCurrencyCode
259	ヘッダ部	UN01005744	BBIE	為替レート	為替交換のレート	ram:ConversionRate	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:ConversionRate
260	ヘッダ部	UN01005745	BBIE	為替レート日時	為替交換レートの適用日。	ram:ConversionRateDateTime	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:ConversionRateDateTime
261	ヘッダ部	UN01005922	ASBIE	インボイス文書決済／支払者為替グループ	支払いに関する為替に関するグループ	ram:PaymentApplicableCITradeCurrencyExchange	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange
262	ヘッダ部	UN01005738	ABIE	支払為替クラス	支払為替に関する情報からなるクラス	ram:CITradeCurrencyExchange	－	
263	ヘッダ部	UN01005739	BBIE	為替交換元通貨コード	為替における交換元通貨を表すコード	ram:SourceCurrencyCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:SourceCurrencyCode
264	ヘッダ部	UN01005741	BBIE	為替交換先通貨コード	為替における交換先通貨を表すコード	ram:TargetCurrencyCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:TargetCurrencyCode
265	ヘッダ部	UN01005744	BBIE	為替レート	為替交換のレート	ram:ConversionRate	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:ConversionRate
266	ヘッダ部	UN01005745	BBIE	為替レート日時	為替交換レートの適用日。	ram:ConversionRateDateTime	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:ConversionRateDateTime
267	ヘッダ部	UN01005923	ASBIE	インボイス文書決済／支払手段グループ	インボイス文書決済に関する支払手段のグループ。	ram:SpecifiedCITradeSettlementPaymentMeans	0..n	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans
268	ヘッダ部	UN01005670	ABIE	支払手段クラス	 取引決済の目的で支払が行われる、あるいは行われた手段のクラス	ram:CITradeSettlementPaymentMeans	－	
269	ヘッダ部	UN01005672	BBIE	支払手段タイプコード	取引決済手段のタイプを識別するコード	ram:TypeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:TypeCode
270	ヘッダ部	UN01011456	BBIE	支払手段情報	取引決済手段に関する情報	ram:Information	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:Information
271	ヘッダ部	UN01015504	BBIE	支払金額	取引決済手段で支払う金額	ram:PaidAmount	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PaidAmount
272	ヘッダ部	UN01005677	ASBIE	支払手段／金融口座グループ	取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ	ram:PayeePartyCICreditorFinancialAccount	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount
273	ヘッダ部	UN01005398	ABIE	金融口座クラス	債権者の銀行口座のクラス	ram:CICreditorFinancialAccount	－	
274	ヘッダ部	UN01005400	BBIE	口座名義	債権者金融口座の、文字で表現された口座名。\n半角カナ（日本の場合）	ram:AccountName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount/ram:AccountName
275	ヘッダ部	UN01005401	BBIE	口座番号	債権者金融口座の一意の所有者識別子。	ram:ProprietaryID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount/ram:ProprietaryID
276	ヘッダ部	UN01012127	BBIE	口座種別コード	債権者金融口座種別の識別子。	ram:TypeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount/ram:TypeCode
277	ヘッダ部	UN01005679	ASBIE	支払手段／金融機関グループ	取引決済の支払手段に対して特定された受取人である当事者の債権者金融機関のグループ	ram:PayeeSpecifiedCICreditorFinancialInstitution	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution
278	ヘッダ部	UN01005402	ABIE	金融機関クラス	金額を受け取る当事者の銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業機関。	ram:CICreditorFinancialInstitution	－	
279	ヘッダ部	UN01005426	BBIE	金融機関名	債権者金融機関の、文字で表現された名前。	ram:Name	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution/ram:Name
280	ヘッダ部	UN01011521	BBIE	金融機関番号	債権者の金融機関番号（日本の場合）	ram:JapanFinancialInstitutionCommonID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution/ram:JapanFinancialInstitutionCommonID
281	ヘッダ部	UN01005428	ASBIE	金融機関／金融機関支店グループ	債権者金融機関の支店金融機関グループ	ram:Sub-DivisionBranchFinancialInstitution	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution/ram:Sub-DivisionBranchFinancialInstitution
282	ヘッダ部	UN01003138	ABIE	金融機関支店クラス	銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。	ram:BranchFinancialInstitution	－	
283	ヘッダ部	UN01003139	BBIE	金融機関支店番号	金融機関のこの支店の一意識別子	ram:ID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution/ram:Sub-DivisionBranchFinancialInstitution/ram:ID
284	ヘッダ部	UN01003140	BBIE	金融機関支店名	金融機関のこの支店の、文字で表現された名前	ram:Name	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution/ram:Sub-DivisionBranchFinancialInstitution/ram:Name
285	ヘッダ部	UN01006057	ASBIE	支払手段／金融カードグループ	支払手段の金融カードに関するグループ	ram:ApplicableTradeSettlementFinancialCard	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard
286	ヘッダ部	UN01004493	ABIE	金融カードクラス	支払人の金融カードのクラス	ram:TradeSettlementFinancialCard	－	
287	ヘッダ部	UN01004495	BBIE	金融カード番号	支払人の金融カード番号	ram:ID	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:ID
288	ヘッダ部	UN01004496	BBIE	金融カードタイプ	金融カードのタイプ	ram:TypeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:TypeCode
289	ヘッダ部	UN01004497	BBIE	金融カード名義人名	支払人の金融カード名義人名	ram:CardholderName	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:CardholderName
290	ヘッダ部	UN01009966	BBIE	金融カード発行企業名	金融カードの発行企業名	ram:IssuingCompanyName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:IssuingCompanyName
291	ヘッダ部	UN01005924	ASBIE	インボイス文書決済／鏡ヘッダ税グループ	インボイス文書の鏡ヘッダの税に関するグループ	ram:ApplicableCITradeTax	0..n	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax
292	ヘッダ部	UN01005832	ABIE	鑑ヘッダ税クラス	鑑ヘッダの税に関する情報からなるクラス	ram:CITradeTax	－	
293	ヘッダ部	UN01005833	BBIE	鑑ヘッダ課税分類税額	鏡ヘッダの明細文書課税分類別税額の合計金\n鑑ヘッダでは複数明細文書税額の積み上げだけを行い、税額計算は行わない	ram:CalculatedAmount	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:CalculatedAmount
294	ヘッダ部	UN01005841	BBIE	鑑ヘッダ課税分類コード	消費税の課税分類（標準税率、軽減税率、非課税、免税等）を識別するコード	ram:CategoryCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:CategoryCode
295	ヘッダ部	UN01005850	BBIE	鑑ヘッダ課税分類名	消費税の課税分類（標準税率、軽減税率、非課税、免税等）の名称	ram:CategoryName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:CategoryName
296	ヘッダ部	UN01007174	BBIE	鑑ヘッダ税率	明細文書の課税分類毎の税額積み上げ計算のための率。	ram:RateApplicablePercent	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:RateApplicablePercent
297	ヘッダ部	UN01013096	BBIE	鑑ヘッダ税計算方式	金額の税込み、税抜きを指定。\nデフォルトは「税抜き」	ram:CalculationMethodCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:CalculationMethodCode
298	ヘッダ部	UN01014650	BBIE	鑑ヘッダ適用税制識別子	取引の税制年度を識別するID\nデフォルトは「2019」（2019年度税制）	ram:LocalTaxSystemID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:LocalTaxSystemID
299	ヘッダ部	UN01005925	ASBIE	インボイス文書決済／鑑ヘッダ取引期間グループ	インボイス文書の取引期間に関するグループ	ram:BillingCISpecifiedPeriod	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod
300	ヘッダ部	UN01005608	ABIE	鑑ヘッダ取引期間クラス	鑑ヘッダ取引期間に関する情報からなるクラス	ram:CISpecifiedPeriod	－	
301	ヘッダ部	UN01005612	BBIE	鑑ヘッダ取引開始日	インボイス文書の取引開始日	ram:StartDateTime	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:StartDateTime
302	ヘッダ部	UN01005613	BBIE	鑑ヘッダ取引終了日	インボイス文書の取引終了日	ram:EndDateTime	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:EndDateTime
303	ヘッダ部	UN01005929	ASBIE	インボイス文書決済／支払条件グループ	インボイス文書の支払条件に関するグループ	ram:SpecifiedCITradePaymentTerms	0..n	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms
304	ヘッダ部	UN01005779	ABIE	支払条件クラス	 取引決済の目的で支払が行われる、あるいは行われた条件のクラス	ram:CITradePaymentTerms	－	
305	ヘッダ部	UN01005780	BBIE	支払条件識別子	支払条件の識別子	ram:ID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:ID
306	ヘッダ部	UN01005783	BBIE	支払条件説明	支払条件の文字による説明	ram:Description	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:Description
307	ヘッダ部	UN01005784	BBIE	支払期日	支払条件で示された支払期日	ram:DueDateDateTime	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:DueDateDateTime
308	ヘッダ部	UN01008502	BBIE	支払条件タイプコード	取引決済の支払条件のタイプを識別するコード	ram:TypeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:TypeCode
309	ヘッダ部	JPS2300010	BBIE	支払条件金額	支払条件の金額	ram:InstructedAmount	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:InstructedAmount
